x d u P
3.906250000000000000e-03 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000001191e+02
1.171875000000000000e-02 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000001191e+02
1.953125000000000000e-02 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000001191e+02
2.734375000000000000e-02 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000001191e+02
3.515625000000000000e-02 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000001191e+02
4.296875000000000000e-02 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000001191e+02
5.078125000000000000e-02 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000001191e+02
5.859375000000000000e-02 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000001191e+02
6.640625000000000000e-02 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000001191e+02
7.421875000000000000e-02 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000001191e+02
8.203125000000000000e-02 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000002897e+02
8.984375000000000000e-02 5.999240000000000350e+00 1.959749999999999659e+01 4.608940000000005739e+02
9.765625000000000000e-02 5.999240000000001238e+00 1.959750000000000014e+01 4.608940000000002897e+02
1.054687500000000000e-01 5.999240000000001238e+00 1.959750000000000014e+01 4.608940000000002897e+02
1.132812500000000000e-01 5.999240000000000350e+00 1.959750000000000014e+01 4.608939999999998349e+02
1.210937500000000000e-01 5.999239999999995909e+00 1.959750000000000369e+01 4.608940000000000055e+02
1.289062500000000000e-01 5.999239999999997686e+00 1.959750000000000725e+01 4.608939999999993802e+02
1.367187500000000000e-01 5.999240000000002127e+00 1.959749999999999659e+01 4.608940000000005739e+02
1.445312500000000000e-01 5.999240000000002127e+00 1.959749999999999659e+01 4.608940000000005739e+02
1.523437500000000000e-01 5.999240000000003015e+00 1.959750000000000369e+01 4.608940000000002897e+02
1.601562500000000000e-01 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000000055e+02
1.679687500000000000e-01 5.999240000000001238e+00 1.959750000000000014e+01 4.608940000000002897e+02
1.757812500000000000e-01 5.999240000000001238e+00 1.959750000000000014e+01 4.608939999999998349e+02
1.835937500000000000e-01 5.999239999999999462e+00 1.959749999999999304e+01 4.608940000000000055e+02
1.914062500000000000e-01 5.999239999999995909e+00 1.959750000000000014e+01 4.608940000000000055e+02
1.992187500000000000e-01 5.999239999999998574e+00 1.959750000000000369e+01 4.608939999999998349e+02
2.070312500000000000e-01 5.999239999999998574e+00 1.959749999999999659e+01 4.608940000000007444e+02
